Columbia,Ivy,26,10,none,0,2019
Hawaii,BW,29,18,none,0,2019
FIU,CUSA,30,20,none,0,2019
Hartford,AE,32,18,none,0,2019
Washington St.,P12,32,11,none,0,2019
Dartmouth,Ivy,28,11,none,0,2019
Illinois St.,MVC,32,17,none,0,2019
South Alabama,SB,32,17,none,0,2019
California,P12,31,8,none,0,2019
Lamar,Slnd,29,20,none,0,2019
NJIT,ASun,34,22,none,0,2019
Pacific,WCC,30,14,none,0,2019
Rider,MAAC,31,16,none,0,2019
William & Mary,CAA,30,14,none,0,2019
South Dakota,Sum,28,13,none,0,2019
Florida Gulf Coast,ASun,30,14,none,0,2019
Valparaiso,MVC,31,15,none,0,2019
Cornell,Ivy,29,15,none,0,2019
High Point,BSth,29,16,none,0,2019
Cal St. Fullerton,BW,32,16,none,0,2019
Weber St.,BSky,31,18,none,0,2019
Long Beach St.,BW,32,15,none,0,2019
Cal St. Bakersfield,WAC,31,18,none,0,2019
Massachusetts,A10,32,11,none,0,2019
Boston University,Pat,32,15,none,0,2019
Detroit,Horz,31,11,none,0,2019
Texas Southern,SWAC,36,24,none,0,2019
Little Rock,SB,29,10,none,0,2019
Arkansas St.,SB,30,13,none,0,2019
Eastern Washington,BSky,33,16,none,0,2019
Air Force,MWC,31,14,none,0,2019
Chattanooga,SC,29,12,none,0,2019
Eastern Kentucky,OVC,29,13,none,0,2019
East Carolina,Amer,31,10,none,0,2019
Southeastern Louisiana,Slnd,31,17,none,0,2019
Army,Pat,31,13,none,0,2019
Siena,MAAC,33,17,none,0,2019
Marist,MAAC,31,12,none,0,2019
UMKC,WAC,31,11,none,0,2019
Quinnipiac,MAAC,31,16,none,0,2019
Western Michigan,MAC,31,8,none,0,2019
Fordham,A10,31,12,none,0,2019
UMBC,AE,31,21,none,0,2019
Youngstown St.,Horz,30,12,none,0,2019
Holy Cross,Pat,33,16,none,0,2019
St. Francis PA,NEC,31,18,none,0,2019
Middle Tennessee,CUSA,30,11,none,0,2019
Troy,SB,28,12,none,0,2019
North Dakota,BSky,26,12,none,0,2019
The Citadel,SC,27,12,none,0,2019
UC Davis,BW,29,11,none,0,2019
Evansville,MVC,30,11,none,0,2019
Rice,CUSA,30,13,none,0,2019
Cal St. Northridge,BW,33,13,none,0,2019
LIU Brooklyn,NEC,31,16,none,0,2019
Morehead St.,OVC,31,13,none,0,2019
Sacred Heart,NEC,31,15,none,0,2019
Norfolk St.,MEAC,33,22,none,0,2019
Tulane,Amer,31,4,none,0,2019
Delaware,CAA,31,17,none,0,2019
Longwood,BSth,31,16,none,0,2019
Oral Roberts,Sum,30,11,none,0,2019
Navy,Pat,31,12,none,0,2019
Loyola MD,Pat,32,11,none,0,2019
UNC Wilmington,CAA,32,10,none,0,2019
Milwaukee,Horz,30,9,none,0,2019
Cleveland St.,Horz,29,10,none,0,2019
Albany,AE,31,12,none,0,2019
Tennessee Martin,OVC,29,12,none,0,2019
St. Francis NY,NEC,31,17,none,0,2019
Southern Utah,BSky,32,17,none,0,2019
New Orleans,Slnd,29,19,none,0,2019
Grambling St.,SWAC,31,17,none,0,2019
Drexel,CAA,31,13,none,0,2019
George Washington,A10,33,9,none,0,2019
Jacksonville,ASun,30,12,none,0,2019
Sacramento St.,BSky,28,15,none,0,2019
Montana St.,BSky,31,15,none,0,2019
Houston Baptist,Slnd,28,12,none,0,2019
Fairfield,MAAC,31,9,none,0,2019
Western Carolina,SC,31,7,none,0,2019
Robert Morris,NEC,33,18,none,0,2019
Canisius,MAAC,32,15,none,0,2019
Portland St.,BSky,29,16,none,0,2019
Towson,CAA,31,10,none,0,2019
James Madison,CAA,31,14,none,0,2019
Western Illinois,Sum,29,10,none,0,2019
Monmouth,MAAC,35,14,none,0,2019
VMI,SC,29,11,none,0,2019
Texas A&M Corpus Chris,Slnd,28,14,none,0,2019
UMass Lowell,AE,30,15,none,0,2019
Elon,CAA,30,11,none,0,2019
North Alabama,ASun,29,10,none,0,2019
Eastern Illinois,OVC,31,14,none,0,2019
Tennessee St.,OVC,28,9,none,0,2019
North Carolina A&T,MEAC,30,19,none,0,2019
Nicholls St.,Slnd,27,14,none,0,2019
Central Arkansas,Slnd,30,14,none,0,2019
Lafayette,Pat,29,10,none,0,2019
Howard,MEAC,31,17,none,0,2019
UTEP,CUSA,27,8,none,0,2019
Bethune Cookman,MEAC,29,14,none,0,2019
Northern Arizona,BSky,31,10,none,0,2019
Wyoming,MWC,31,8,none,0,2019
Niagara,MAAC,32,13,none,0,2019
Charlotte,CUSA,29,8,none,0,2019
Denver,Sum,29,8,none,0,2019
Idaho St.,BSky,28,11,none,0,2019
Saint Peter's,MAAC,32,10,none,0,2019
Southeast Missouri St.,OVC,29,10,none,0,2019
Wagner,NEC,28,13,none,0,2019
Mount St. Mary's,NEC,29,9,none,0,2019
Florida A&M,MEAC,29,12,none,0,2019
Stephen F. Austin,Slnd,26,14,none,0,2019
UC Riverside,BW,30,10,none,0,2019
Portland,WCC,30,7,none,0,2019
